Tipus pla,Número d'inscripció,Nom del pla,Estat,Data d'homologació,Últim esdeveniment,Data de l'últim esdeveniment,Ine5,Municipi,Comarca,Servei territorial,Vegueria,Província
F,4228,PEM Àrees pública concurrència - Cursa Sant Silvestre Vendrell,Homologat pendent de revisió,12/12/2013,Homologació,12/12/2013,43163,Vendrell,Baix Penedès,Tarragona,Penedès,Tarragona
E,4766,PAM SISMICAT Sant Ferriol,Homologat pendent de revisió,14/09/2016,Homologació,14/09/2016,17162,Sant Ferriol,Garrotxa,Girona,Girona,Girona
E,2550,PAM NEUCAT Sarroca de Bellera,Homologat pendent de revisió,22/10/2009,Homologació,22/10/2009,25201,Sarroca de Bellera,Pallars Jussà,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,8054,PAM RADCAT Guissona,Homologat,10/12/2021,Revisió,10/12/2021,25110,Guissona,Segarra,Lleida,Lleida,Lleida
E,10548,PAM INFOCAT Sant Feliu de Codines,Homologat,06/10/2022,Homologació,06/10/2022,08210,Sant Feliu de Codines,Vallès Oriental,Barcelona,Barcelona,Barcelona
E,5402,PAM SISMICAT Palamós,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17118,Palamós,Baix Empordà,Girona,Girona,Girona
T,5670,PBEM L'Aldea,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,43904,Aldea,Baix Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
T,3054,PBEM Sant Pere de Ribes,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,08231,Sant Pere de Ribes,Garraf,Barcelona,Penedès,Barcelona
T,9022,PBEM Súria,Homologat,10/03/2022,Homologació,10/03/2022,08274,Súria,Bages,Catalunya Central,Catalunya Central,Barcelona
E,4591,PAM TRANSCAT Riudarenes,Homologat pendent de revisió,11/06/2015,Homologació,11/06/2015,17148,Riudarenes,Selva,Girona,Girona,Girona
T,8874,PBEM Sant Cugat Sesgarrigues,Homologat,10/03/2022,Homologació,10/03/2022,08206,Sant Cugat Sesgarrigues,Alt Penedès,Barcelona,Penedès,Barcelona
T,9172,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Naut Aran,Homologat,10/03/2022,Revisió,10/03/2022,25025,Naut Aran,Aran,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
T,1399,PBEM Gisclareny,Homologat pendent de revisió,17/10/2006,Homologació,17/10/2006,08093,Gisclareny,Berguedà,Catalunya Central,Catalunya Central,Barcelona
E,6226,PAM INUNCAT Santa Margarida i els Monjos,Homologat,28/02/2020,Homologació,28/02/2020,08251,Santa Margarida i els Monjos,Alt Penedès,Barcelona,Penedès,Barcelona
E,8545,PAM NEUCAT La Sentiu de Sió,Homologat,10/12/2021,Homologació,10/12/2021,25035,Sentiu de Sió,Noguera,Lleida,Lleida,Lleida
E,3139,PAM NEUCAT Celrà,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,17049,Celrà,Gironès,Girona,Girona,Girona
T,8014,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Cabrera d'Anoia,Homologat,10/12/2021,Homologació,10/12/2021,08028,Cabrera d'Anoia,Anoia,Catalunya Central,Penedès,Barcelona
E,8260,PAM SISMICAT Sant Martí Sarroca,Homologat,10/12/2021,Homologació,10/12/2021,08227,Sant Martí Sarroca,Alt Penedès,Barcelona,Penedès,Barcelona
E,8772,PAM NEUCAT Les Borges Blanques,Homologat,10/12/2021,Homologació,10/12/2021,25058,Borges Blanques,Garrigues,Lleida,Lleida,Lleida
E,6567,PAM INFOCAT  La Cellera de Ter,Homologat,02/12/2020,Homologació,02/12/2020,17189,Cellera de Ter,Selva,Girona,Girona,Girona
E,6402,PAM TRANSCAT Sallent,Homologat,30/10/2020,Homologació,30/10/2020,08191,Sallent,Bages,Catalunya Central,Catalunya Central,Barcelona
E,10453,PAM NEUCAT Pont de Vilomara i Rocafort,Homologat,06/10/2022,Revisió,06/10/2022,08182,Pont de Vilomara i Rocafort,Bages,Catalunya Central,Catalunya Central,Barcelona
T,5792,PBEM Torrelavit,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,08287,Torrelavit,Alt Penedès,Barcelona,Penedès,Barcelona
E,5290,PAM SISMICAT Sant Sadurní d'Osormort,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,08241,Sant Sadurní d'Osormort,Osona,Catalunya Central,Catalunya Central,Barcelona
E,5569,PAM VENTCAT Ponts,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,25172,Ponts,Noguera,Lleida,Lleida,Lleida
T,8936,PBEM Sant Climent de Llobregat,Homologat,10/03/2022,Homologació,10/03/2022,08204,Sant Climent de Llobregat,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,4844,PAM INUNCAT Calonge,Homologat pendent de revisió,25/05/2017,Homologació,25/05/2017,17034,Calonge i Sant Antoni,Baix Empordà,Girona,Girona,Girona
E,6553,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Roda de Berà,Homologat,30/10/2020,Homologació,30/10/2020,43131,Roda de Berà,Tarragonès,Tarragona,Tarragona,Tarragona
E,4440,PAM INUNCAT Llers,Homologat pendent de revisió,27/11/2014,Homologació,27/11/2014,17093,Llers,Alt Empordà,Girona,Girona,Girona
T,5729,PBEM Paüls,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,43102,Paüls,Baix Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,5600,PAM SISMICAT Verdú,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,25242,Verdú,Urgell,Lleida,Lleida,Lleida
E,2967,PAM INUNCAT Sant Jaume d'Enveja,Homologat pendent de revisió,08/09/2010,Homologació,08/09/2010,43902,Sant Jaume d'Enveja,Montsià,Terres de l'Ebre,Terres de l'Ebre,Tarragona
T,6600,PBEM Brunyola,Homologat,22/12/2020,Homologació,22/12/2020,17028,Brunyola i Sant Martí Sapresa,Selva,Girona,Girona,Girona
E,2924,PAM TRANSCAT Llanars,Homologat pendent de revisió,08/09/2010,Homologació,08/09/2010,17091,Llanars,Ripollès,Girona,Girona,Girona
F,1316,PEM Crema de la Bota per Sant Pere Arenys de Mar,Homologat pendent de revisió,05/07/2006,Homologació,05/07/2006,08006,Arenys de Mar,Maresme,Barcelona,Barcelona,Barcelona
E,1900,PAM INUNCAT Canet de Mar,Homologat pendent de revisió,06/05/2008,Homologació,06/05/2008,08040,Canet de Mar,Maresme,Barcelona,Barcelona,Barcelona
F,4417,PEM Diada de Sant Jordi Reus,Homologat pendent de revisió,27/11/2014,Homologació,27/11/2014,43123,Reus,Baix Camp,Tarragona,Tarragona,Tarragona
E,5809,PAM NEUCAT El Bruc,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,08025,Bruc,Anoia,Catalunya Central,Penedès,Barcelona
E,5745,PAM TRANSCAT Riba-roja d'Ebre,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,43125,Riba-roja d'Ebre,Ribera d'Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
T,9195,PBEM,Homologat,10/03/2022,Homologació,10/03/2022,08288,Torrelles de Foix,Alt Penedès,Barcelona,Penedès,Barcelona
E,2920,PAM NEUCAT Gombrèn,Homologat pendent de revisió,08/09/2010,Homologació,08/09/2010,17080,Gombrèn,Ripollès,Girona,Girona,Girona
F,3960,PEM Àrees pública concurrència - Festa Major Llorenç del Penedès,Homologat pendent de revisió,04/10/2012,Homologació,04/10/2012,43074,Llorenç del Penedès,Baix Penedès,Tarragona,Penedès,Tarragona
E,8381,PAM NEUCAT Sant Joan de Vilatorrada,Homologat,10/12/2021,Homologació,10/12/2021,08218,Sant Joan de Vilatorrada,Bages,Catalunya Central,Catalunya Central,Barcelona
E,3759,PAM TRANSCAT Ullà,Homologat pendent de revisió,16/02/2012,Homologació,16/02/2012,17204,Ullà,Baix Empordà,Girona,Girona,Girona
E,4513,PAM INFOCAT Vilobí d'Onyar,Homologat pendent de revisió,05/03/2015,Actualització,14/09/2016,17233,Vilobí d'Onyar,Selva,Girona,Girona,Girona
E,5730,PAM INUNCAT Paüls,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,43102,Paüls,Baix Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,6341,PAM VENTCAT Deltebre,Homologat,28/02/2020,Homologació,28/02/2020,43901,Deltebre,Baix Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,8373,PAM INFOCAT Sant Jaume de Frontanyà,Homologat,10/12/2021,Homologació,10/12/2021,08216,Sant Jaume de Frontanyà,Berguedà,Catalunya Central,Catalunya Central,Barcelona
E,6476,PAM NEUCAT Pals,Homologat,30/10/2020,Homologació,30/10/2020,17124,Pals,Baix Empordà,Girona,Girona,Girona
E,10252,PAM SISMICAT Alàs i Cerc,Homologat,06/10/2022,Homologació,06/10/2022,25005,Alàs i Cerc,Alt Urgell,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,6362,PAM VENTCAT El Prat de Llobregat,Homologat,30/10/2020,Homologació,30/10/2020,08169,Prat de Llobregat,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,3224,PAM SISMICAT Torroella de Fluvià,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,17198,Torroella de Fluvià,Alt Empordà,Girona,Girona,Girona
T,5889,PBEM Colldejou,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,43045,Colldejou,Baix Camp,Tarragona,Tarragona,Tarragona
E,4500,PA PROCICAT - Emergències Episodis Contaminació a l'Ebre de Puigpelat,Homologat pendent de revisió,05/03/2015,Homologació,05/03/2015,43119,Puigpelat,Alt Camp,Tarragona,Tarragona,Tarragona
E,3622,PAM CAMCAT Salou,Homologat pendent de revisió,15/12/2011,Homologació,15/12/2011,43905,Salou,Tarragonès,Tarragona,Tarragona,Tarragona
E,6540,PA PROCICAT - Emergències Episodis Contaminació a l'Ebre de Reus,Homologat,30/10/2020,Homologació,30/10/2020,43123,Reus,Baix Camp,Tarragona,Tarragona,Tarragona
E,8516,PAM NEUCAT Riudellots de la Selva,Homologat,10/12/2021,Homologació,10/12/2021,17150,Riudellots de la Selva,Selva,Girona,Girona,Girona
E,3168,PAM INFOCAT La Vajol,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,17014,Vajol,Alt Empordà,Girona,Girona,Girona
E,8513,PAM INUNCAT  Riudellots de la Selva,Homologat,10/12/2021,Homologació,10/12/2021,17150,Riudellots de la Selva,Selva,Girona,Girona,Girona
E,3742,PAM TRANSCAT Jafre,Homologat pendent de revisió,16/02/2012,Homologació,16/02/2012,17085,Jafre,Baix Empordà,Girona,Girona,Girona
E,8481,PAM INUNCAT  Mollet de Peralada,Homologat,10/12/2021,Homologació,10/12/2021,17106,Mollet de Peralada,Alt Empordà,Girona,Girona,Girona
E,6355,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc El Prat de Llobregat,Homologat,30/10/2020,Homologació,30/10/2020,08169,Prat de Llobregat,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,2756,PAM CAMCAT Sant Pere Pescador,Homologat pendent de revisió,17/12/2009,Homologació,17/12/2009,17178,Sant Pere Pescador,Alt Empordà,Girona,Girona,Girona
E,10420,PAM VENTCAT Monistrol de Montserrat,Homologat,06/10/2022,Homologació,06/10/2022,08127,Monistrol de Montserrat,Bages,Catalunya Central,Catalunya Central,Barcelona
T,3474,PBEM Ventalló,Homologat pendent de revisió,20/10/2011,Homologació,20/10/2011,17210,Ventalló,Alt Empordà,Girona,Girona,Girona
T,10449,PBEM  Pobla de Lillet,Homologat,06/10/2022,Homologació,06/10/2022,08166,Pobla de Lillet,Berguedà,Catalunya Central,Catalunya Central,Barcelona
E,5880,PAM INFOCAT Alcover,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,43005,Alcover,Alt Camp,Tarragona,Tarragona,Tarragona
E,5423,PAM INUNCAT Sant Feliu de Guíxols,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17160,Sant Feliu de Guíxols,Baix Empordà,Girona,Girona,Girona
E,8269,PAM RADCAT Sant Vicenç dels Horts,Homologat pendent de revisió,05/12/2018,Actualització,10/12/2021,08263,Sant Vicenç dels Horts,Baix Llobregat,Barcelona,Barcelona,Barcelona
F,4430,PEM Àrees pública concurrència - Festa del Renaixement Tortosa,Homologat pendent de revisió,27/11/2014,Homologació,27/11/2014,43155,Tortosa,Baix Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
F,4621,PEM Festa Major Sant Cugat del Vallès,Homologat pendent de revisió,11/06/2015,Actualització,25/05/2017,08205,Sant Cugat del Vallès,Vallès Occidental,Barcelona,Barcelona,Barcelona
E,9146,PAM NEUCAT,Homologat,10/03/2022,Homologació,10/03/2022,08092,Gironella,Berguedà,Catalunya Central,Catalunya Central,Barcelona
E,8890,PAM TRANSCAT Santa Oliva,Homologat,10/03/2022,Homologació,10/03/2022,43140,Santa Oliva,Baix Penedès,Tarragona,Penedès,Tarragona
E,6416,PAM INFOCAT Sant Quirze de Besora,Homologat,30/10/2020,Homologació,30/10/2020,08237,Sant Quirze de Besora,Osona,Catalunya Central,Catalunya Central,Barcelona
T,9086,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Olèrdola,Homologat,10/03/2022,Homologació,10/03/2022,08145,Olèrdola,Alt Penedès,Barcelona,Penedès,Barcelona
E,1127,PAM INUNCAT Boadella d'Empordà,Homologat pendent de revisió,21/12/2005,Homologació,21/12/2005,17029,Boadella i les Escaules,Alt Empordà,Girona,Girona,Girona
E,2037,PAM INFOCAT Vilamaniscle,Homologat pendent de revisió,10/07/2008,Homologació,10/07/2008,17227,Vilamaniscle,Alt Empordà,Girona,Girona,Girona
F,3511,PEM APC Festa Major Mare de Déu del Camí de Cambrils,Homologat pendent de revisió,20/10/2011,Homologació,20/10/2011,43038,Cambrils,Baix Camp,Tarragona,Tarragona,Tarragona
E,5747,PAM INFOCAT Sant Carles de la Ràpita,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,43136,Ràpita,Montsià,Terres de l'Ebre,Terres de l'Ebre,Tarragona
T,7927,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Pallejà,Homologat,10/12/2021,Homologació,10/12/2021,08157,Pallejà,Baix Llobregat,Barcelona,Barcelona,Barcelona
T,10776,PBEM  Cervera,Homologat,15/12/2022,Revisió,15/12/2022,25072,Cervera,Segarra,Lleida,Lleida,Lleida
E,9019,PAM INUNCAT Súria,Homologat,10/03/2022,Homologació,10/03/2022,08274,Súria,Bages,Catalunya Central,Catalunya Central,Barcelona
F,4619,PEM Cavalcada de Reis Sant Cugat del Vallès,Homologat pendent de revisió,11/06/2015,Homologació,11/06/2015,08205,Sant Cugat del Vallès,Vallès Occidental,Barcelona,Barcelona,Barcelona
E,8491,PAM SISMICAT Pont de Molins,Homologat,10/12/2021,Homologació,10/12/2021,17135,Pont de Molins,Alt Empordà,Girona,Girona,Girona
E,8126,PAM AEROCAT La Torre de Cabdella,Homologat,10/12/2021,Homologació,10/12/2021,25227,Torre de Cabdella,Pallars Jussà,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,4914,PAM INUNCAT Vilopriu,Homologat pendent de revisió,25/05/2017,Homologació,25/05/2017,17232,Vilopriu,Baix Empordà,Girona,Girona,Girona
T,1771,PBEM Cornellà del Terri,Homologat pendent de revisió,20/12/2007,Homologació,20/12/2007,17056,Cornellà del Terri,Pla de l'Estany,Girona,Girona,Girona
T,1797,PBEM Sarrià de Ter,Homologat pendent de revisió,20/12/2007,Homologació,20/12/2007,17186,Sarrià de Ter,Gironès,Girona,Girona,Girona
E,1070,PAM SISMICAT Gelida,Homologat pendent de revisió,18/10/2005,Homologació,18/10/2005,08091,Gelida,Alt Penedès,Barcelona,Penedès,Barcelona
E,3136,PAM PLASEQCAT Celrà,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,17049,Celrà,Gironès,Girona,Girona,Girona
E,6320,PAM VENTCAT La Morera de Montsant,Homologat,28/02/2020,Homologació,28/02/2020,43096,Morera de Montsant,Priorat,Tarragona,Tarragona,Tarragona
E,2569,PAM NEUCAT Castellfollit de Riubregós,Homologat pendent de revisió,22/10/2009,Homologació,22/10/2009,08060,Castellfollit de Riubregós,Anoia,Catalunya Central,Catalunya Central,Barcelona
E,5225,PAM INFOCAT Folgueroles,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,08083,Folgueroles,Osona,Catalunya Central,Catalunya Central,Barcelona
E,5050,PAM ALLAUCAT Es Bòrdes,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,25057,Bòrdes,Aran,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
T,8259,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Sant Martí Sarroca,Homologat,10/12/2021,Homologació,10/12/2021,08227,Sant Martí Sarroca,Alt Penedès,Barcelona,Penedès,Barcelona
E,2497,PAM SISMICAT Vilallonga de Ter,Homologat pendent de revisió,09/07/2009,Homologació,09/07/2009,17224,Vilallonga de Ter,Ripollès,Girona,Girona,Girona
E,4415,PAM INFOCAT Masllorenç,Homologat pendent de revisió,27/11/2014,Homologació,27/11/2014,43079,Masllorenç,Baix Penedès,Tarragona,Penedès,Tarragona
E,1799,PAM SISMICAT Sarrià de Ter,Homologat pendent de revisió,20/12/2007,Homologació,20/12/2007,17186,Sarrià de Ter,Gironès,Girona,Girona,Girona
F,4173,PEM Àrees pública concurrència - Correfocs Borges del Camp,Homologat pendent de revisió,03/10/2013,Homologació,03/10/2013,43031,Borges del Camp,Baix Camp,Tarragona,Tarragona,Tarragona
E,2068,PAM CAMCAT Sant Carles de la Ràpita,Homologat pendent de revisió,10/07/2008,Homologació,10/07/2008,43136,Ràpita,Montsià,Terres de l'Ebre,Terres de l'Ebre,Tarragona
F,4618,PEM Fira  Cirera i Festa Major d'Estiu Sant Climent de Llobregat,Homologat pendent de revisió,11/06/2015,Homologació,11/06/2015,08204,Sant Climent de Llobregat,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,5890,PAM INFOCAT Colldejou,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,43045,Colldejou,Baix Camp,Tarragona,Tarragona,Tarragona
E,1357,PAM INUNCAT Salt,Homologat pendent de revisió,05/07/2006,Homologació,05/07/2006,17155,Salt,Gironès,Girona,Girona,Girona
T,1353,PBEM Sales de Llierca,Homologat pendent de revisió,05/07/2006,Homologació,05/07/2006,17154,Sales de Llierca,Garrotxa,Girona,Girona,Girona
E,6493,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Vilafant,Homologat,30/10/2020,Homologació,30/10/2020,17221,Vilafant,Alt Empordà,Girona,Girona,Girona
E,5949,PAM INUNCAT Miravet,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,43084,Miravet,Ribera d'Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,7993,PAM PLASEQCAT Barberà del Vallès,Homologat,10/12/2021,Homologació,10/12/2021,08252,Barberà del Vallès,Vallès Occidental,Barcelona,Barcelona,Barcelona
E,5228,PAM INUNCAT Folgueroles,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,08083,Folgueroles,Osona,Catalunya Central,Catalunya Central,Barcelona
E,5740,PAM TRANSCAT La Pobla de Massaluca,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,43110,Pobla de Massaluca,Terra Alta,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,8392,PAM NEUCAT Sant Salvador de Guardiola,Homologat,10/12/2021,Homologació,10/12/2021,08098,Sant Salvador de Guardiola,Bages,Catalunya Central,Catalunya Central,Barcelona
E,5054,PAM ALLAUCAT Arres,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,25031,Arres,Aran,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,6328,PAM CAMCAT L' Ampolla,Homologat,28/02/2020,Homologació,28/02/2020,43906,Ampolla,Baix Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,5429,PAM INFOCAT Serinyà,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17190,Serinyà,Pla de l'Estany,Girona,Girona,Girona
T,1591,PBEM Llavorsí,Homologat pendent de revisió,26/04/2007,Homologació,26/04/2007,25126,Llavorsí,Pallars Sobirà,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
T,10359,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Fortià,Homologat,06/10/2022,Homologació,06/10/2022,17074,Fortià,Alt Empordà,Girona,Girona,Girona
E,4755,PAM INFOCAT Vilablareix,Homologat pendent de revisió,14/09/2016,Homologació,14/09/2016,17215,Vilablareix,Gironès,Girona,Girona,Girona
T,6625,PBEM Sant Guim de Freixenet,Homologat,22/12/2020,Homologació,22/12/2020,25192,Sant Guim de Freixenet,Segarra,Lleida,Lleida,Lleida
E,3591,PAM INUNCAT Bellvís,Homologat pendent de revisió,15/12/2011,Homologació,15/12/2011,25052,Bellvís,Pla d'Urgell,Lleida,Lleida,Lleida
T,10812,PBEM  Montornès de Segarra,Homologat,15/12/2022,Revisió,15/12/2022,25143,Montornès de Segarra,Segarra,Lleida,Lleida,Lleida
E,10797,PAM VENTCAT Mataró,Homologat,15/12/2022,Revisió,15/12/2022,08121,Mataró,Maresme,Barcelona,Barcelona,Barcelona
E,8502,PAM VENTCAT Quart,Homologat,10/12/2021,Homologació,10/12/2021,17142,Quart,Gironès,Girona,Girona,Girona
F,3338,PEM Transegre Balaguer,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,25040,Balaguer,Noguera,Lleida,Lleida,Lleida
E,9513,PAM INFOCAT Mont-ras,Homologat,06/10/2022,Revisió,06/10/2022,17110,Mont-ras,Baix Empordà,Girona,Girona,Girona
E,3813,PAM INUNCAT Gelida,Homologat pendent de revisió,16/02/2012,Homologació,16/02/2012,08091,Gelida,Alt Penedès,Barcelona,Penedès,Barcelona
E,10521,PAM TRANSCAT Girona,Homologat,06/10/2022,Revisió,06/10/2022,17079,Girona,Gironès,Girona,Girona,Girona
E,3077,PAM NEUCAT Castell de l'Areny,Homologat pendent de revisió,27/07/2011,Homologació,27/07/2011,08057,Castell de l'Areny,Berguedà,Catalunya Central,Catalunya Central,Barcelona
E,8295,PAM INUNCAT  Santa Perpètua de Mogoda,Homologat,10/12/2021,Homologació,10/12/2021,08260,Santa Perpètua de Mogoda,Vallès Occidental,Barcelona,Barcelona,Barcelona
E,2224,PAM NEUCAT Fontcoberta,Homologat pendent de revisió,18/12/2008,Homologació,18/12/2008,17071,Fontcoberta,Pla de l'Estany,Girona,Girona,Girona
E,6334,PAM INFOCAT Benissanet,Homologat,28/02/2020,Homologació,28/02/2020,43026,Benissanet,Ribera d'Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,5407,PAM SISMICAT Palau-sator,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17121,Palau-sator,Baix Empordà,Girona,Girona,Girona
T,5699,PBEM Corbera d'Ebre,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,43048,Corbera d'Ebre,Terra Alta,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,5951,PAM SISMICAT Miravet,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,43084,Miravet,Ribera d'Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,6239,PAM SISMICAT Les Masies de Roda,Homologat,28/02/2020,Homologació,28/02/2020,08116,Masies de Roda,Osona,Catalunya Central,Catalunya Central,Barcelona
T,10654,PBEM  Argentona,Homologat,15/12/2022,Homologació,15/12/2022,08009,Argentona,Maresme,Barcelona,Barcelona,Barcelona
F,4639,PEM Fira del Comerç i del Rebost d'Alcarràs,Homologat pendent de revisió,11/06/2015,Homologació,11/06/2015,25011,Alcarràs,Segrià,Lleida,Lleida,Lleida
T,1303,PBEM Lloret de Mar,Homologat pendent de revisió,25/04/2006,Homologació,25/04/2006,17095,Lloret de Mar,Selva,Girona,Girona,Girona
E,1388,PAM INFOCAT Martorell,Homologat pendent de revisió,05/07/2006,Homologació,05/07/2006,08114,Martorell,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,1707,PAM NEUCAT Cava,Homologat pendent de revisió,20/09/2007,Homologació,20/09/2007,25071,Cava,Alt Urgell,Alt Pirineu i Aran,Alt Pirineu i Aran,Lleida
E,5936,PAM VENTCAT Bot,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,43032,Bot,Terra Alta,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,10269,PAM VENTCAT Amer,Homologat,06/10/2022,Homologació,06/10/2022,17007,Amer,Selva,Girona,Girona,Girona
E,1750,PAM NEUCAT Martorell,Homologat pendent de revisió,20/12/2007,Homologació,20/12/2007,08114,Martorell,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,3543,PAM NEUCAT Mediona,Homologat pendent de revisió,15/12/2011,Actualització,25/04/2013,08122,Mediona,Alt Penedès,Barcelona,Penedès,Barcelona
E,6538,PAM PLASEQCAT Reus,Homologat,30/10/2020,Homologació,30/10/2020,43123,Reus,Baix Camp,Tarragona,Tarragona,Tarragona
E,8274,PAM INFOCAT Santa Coloma de Cervelló,Homologat,10/12/2021,Homologació,10/12/2021,08244,Santa Coloma de Cervelló,Baix Llobregat,Barcelona,Barcelona,Barcelona
T,5806,PBEM El Bruc,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,08025,Bruc,Anoia,Catalunya Central,Penedès,Barcelona
E,8334,PAM SISMICAT Vilafranca del Penedès,Homologat,10/12/2021,Homologació,10/12/2021,08305,Vilafranca del Penedès,Alt Penedès,Barcelona,Penedès,Barcelona
E,2649,PAM NEUCAT La Pobla de Mafumet,Homologat pendent de revisió,22/10/2009,Homologació,22/10/2009,43109,Pobla de Mafumet,Tarragonès,Tarragona,Tarragona,Tarragona
E,5778,PAM NEUCAT Sant Esteve Sesrovires,Homologat pendent de revisió,21/03/2019,Homologació,21/03/2019,08208,Sant Esteve Sesrovires,Baix Llobregat,Barcelona,Barcelona,Barcelona
E,5731,PAM NEUCAT Paüls,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,43102,Paüls,Baix Ebre,Terres de l'Ebre,Terres de l'Ebre,Tarragona
E,2633,PAM INUNCAT Castelló de Farfanya,Homologat pendent de revisió,22/10/2009,Homologació,22/10/2009,25069,Castelló de Farfanya,Noguera,Lleida,Lleida,Lleida
T,9005,PA PROCICAT - Malalties Transmissibles Emergents Alt Risc Arenys de Mar,Homologat,10/03/2022,Homologació,10/03/2022,08006,Arenys de Mar,Maresme,Barcelona,Barcelona,Barcelona
F,2831,PEM Àrees Litoral i Platges Vila-seca,Homologat pendent de revisió,18/02/2010,Homologació,18/02/2010,43171,Vila-seca,Tarragonès,Tarragona,Tarragona,Tarragona
E,5426,PAM NEUCAT Sant Feliu de Guíxols,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17160,Sant Feliu de Guíxols,Baix Empordà,Girona,Girona,Girona
E,5352,PAM NEUCAT Colomers,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17055,Colomers,Baix Empordà,Girona,Girona,Girona
E,6530,PAM TRANSCAT Montblanc,Homologat,30/10/2020,Homologació,30/10/2020,43086,Montblanc,Conca de Barberà,Tarragona,Tarragona,Tarragona
E,4833,PAM TRANSCAT Montmeló,Homologat pendent de revisió,25/05/2017,Homologació,25/05/2017,08135,Montmeló,Vallès Oriental,Barcelona,Barcelona,Barcelona
E,5448,PAM VENTCAT Torroella de Montgrí,Homologat pendent de revisió,05/12/2018,Homologació,05/12/2018,17199,Torroella de Montgrí,Baix Empordà,Girona,Girona,Girona
